country,continent,bmi,population,lifeexp_female,life_expectancy,che_gdp_pct,gdp,status,gdp_mil,pop_mil,gdp_per_cap
Afghanistan,Asia,22.9,34413603,64.7,63.2,10.1,19907111418.99,Developing,19907.11141899,34.413603,578.466352941597
Albania,Europe,26.7,2880703,78.2,76.1,NA,11386927679.09,Developing,11386.92767909,2.880703,3952.8294583266656
Algeria,Africa,25.5,39728025,77.2,76.2,7,165978425168.39,Developing,165978.42516839,39.728025,4177.867517159235
Andorra,Europe,27,78011,NA,NA,10.3,2811489408.89,Developing,2811.48940889,0.078011,36039.65349617362
Angola,Africa,22.9,27884381,64.5,62.2,2.6,116193649124.15,Developing,116193.64912414999,27.884381,4166.979683864956
Antigua and Barbuda,North America,26.6,93566,77.4,75,4.7,1336692592.59,Developing,1336.69259259,0.093566,14286.093159801636
Argentina,South America,27.6,43131966,80.1,76.8,8.8,594749285413.21,Developing,594749.2854132099,43.131966,13789.060424771966
Armenia,Asia,26.5,2925553,77.9,74.6,10.1,10553337672.99,Developing,10553.33767299,2.925553,3607.296696723662
Australia,Oceania,27.4,23815995,84.5,82.6,9.3,1351693984524.5,Developed,1351693.9845245,23.815995,56755.72171242478
Austria,Europe,26,8642699,83.8,81.4,10.4,381817565893.57,Developed,381817.56589357,8.642699,44178.04737774276
Azerbaijan,Asia,26.9,9649341,75.5,72.9,6.7,53074468085.11,Developing,53074.46808511,9.649341,5500.320497027725
Bahamas,North America,28,374206,78.5,75.6,5.7,11752300000,Developing,11752.3,0.374206,31405.963560178083
Bahrain,Asia,25,1371851,79.4,78.8,5,31125877659.57,Developing,31125.87765957,1.371851,22688.963786570115
Bangladesh,Asia,21.6,156256276,74,72.2,2.5,195078678697.23,Developing,195078.67869723,156.256276,1248.4533977837152
Barbados,North America,27.9,285324,77.9,75.5,7,4725500000,Developing,4725.5,0.285324,16561.873519227265
Belarus,Europe,27.2,9489616,78.8,73.8,6.1,56454734396.58,Developing,56454.73439658,9.489616,5949.106306997038
Belgium,Europe,26.6,11274196,83.2,80.9,10.3,462149679343.82,Developed,462149.67934382,11.274196,40991.80813814307
Belize,North America,28.8,360933,73.2,70.3,5.9,1723785356.57,Developing,1723.78535657,0.360933,4775.9150772304
Benin,Africa,23.3,10575952,62,60.7,4,8294490789,Developing,8294.490789,10.575952,784.2784071826347
Bhutan,Asia,23.8,727876,70.3,70.2,3.7,2003598213.03,Developing,2003.59821303,0.727876,2752.6642079557505
Bolivia (Plurinational State of),South America,26.2,10869730,73.7,71.2,6.6,33000198263.39,Developing,33000.19826339,10.86973,3035.9722148931023
Bosnia and Herzegovina,Europe,26.1,3429361,79.6,77.1,9.3,16211540686.14,Developing,16211.540686139999,3.429361,4727.277380870663
Botswana,Africa,23.8,2120716,67.9,65.3,5.7,14420604205.75,Developing,14420.60420575,2.120716,6799.875233529619
Brazil,South America,26.5,204471769,78.6,74.9,8.9,1802214373741.32,Developing,1802214.37374132,204.471769,8814.00098681261
Brunei Darussalam,Asia,27.2,414907,77.3,76.2,2.4,12930394937.81,Developing,12930.394937809999,0.414907,31164.562029105316
Bulgaria,Europe,27,7177991,78.3,74.7,8.2,50201314894.58,Developed,50201.31489458,7.177991,6993.783482673634
Burkina Faso,Africa,22.1,18110624,60.4,59.8,5.8,10419303761.35,Developing,10419.30376135,18.110624,575.3144541761786
Burundi,Africa,21.6,10160030,61.4,59.7,6.6,3104394858.12,Developing,3104.3948581199998,10.16003,305.54977279791495
Cabo Verde,Africa,24.3,524743,74.7,73,4.8,1596800287.16,Developing,1596.8002871600002,0.524743,3043.0139842932635
Cambodia,Asia,22,15521436,70.8,69,6.2,18049954289.42,Developing,18049.95428942,15.521436,1162.9049199713222
Cameroon,Africa,24,23298368,58.8,57.2,4.7,30916218544.44,Developing,30916.21854444,23.298368,1326.969277180273
Canada,North America,27.3,35702908,84.5,82.6,10.5,1552899925233.71,Developed,1552899.9252337099,35.702908,43495.05438699027
Central African Republic,Africa,22.5,4493170,53.5,52.6,6.3,1695143879.57,Developing,1695.1438795699999,4.49317,377.2712538297015
Chad,Africa,21.5,14110975,54.9,53.7,4.5,10945989471.63,Developing,10945.989471629999,14.110975,775.7075235148527
Chile,South America,28,17969353,82.3,79.4,8.3,243919085308.79,Developing,243919.08530879,17.969353,13574.171830715886
China,Asia,23.9,1371220000,77.7,76.2,4.9,11015542352468.9,Developing,11015542.3524689,1371.22,8033.3880431067955
Colombia,South America,26.1,47520667,78.6,74.9,7.3,293481748240.78,Developing,293481.74824078,47.520667,6175.876029702614
Comoros,Africa,24.3,777424,65.2,63.6,7.8,965640593.04,Developing,965.64059304,0.777424,1242.102884706415
Congo,Africa,22.9,4856095,64.8,63.6,3.4,8553154580.4,Developing,8553.1545804,4.856095,1761.3235697407072
Cook Islands,Oceania,32.8,NA,NA,NA,2.9,NA,Developing,NA,NA,NA
Costa Rica,North America,27.2,4847804,82.1,79.4,7.8,54775994478.51,Developing,54775.99447851,4.847804,11299.135542301216
Cote d'Ivoire,Africa,23.6,23226143,55,53.9,4.4,33131114321.68,Developing,33131.11432168,23.226143,1426.4578635238747
Croatia,Europe,27.9,4203604,80.6,77.5,6.8,49530656285.09,Developed,49530.65628508999,4.203604,11782.902548643971
Cuba,North America,25.8,11324781,81,78.8,12.8,87133000000,Developing,87133,11.324781,7694.011919524095
Cyprus,Europe,27.1,1160985,82.9,80.5,6.8,19779150116.5,Developed,19779.1501165,1.160985,17036.525120048926
Czechia,Europe,27.9,10546059,81.5,78.6,7.2,186829940545.76,Developed,186829.94054576,10.546059,17715.61685230094
Democratic People's Republic of Korea,Asia,24.1,25183833,75.2,71.8,NA,NA,Developing,NA,25.183833,NA
Democratic Republic of the Congo,Africa,21.7,76244544,61.6,60.1,3.9,37917704900.08,Developing,37917.70490008,76.244544,497.31696080548403
Denmark,Europe,25.7,5683483,82.8,80.9,10.2,302673068765.97,Developed,302673.06876596995,5.683483,53254.856003962705
Djibouti,Africa,23.8,913993,65.3,63.6,4.4,2445484583.05,Developing,2445.4845830500003,0.91399300000000006,2675.6053744941155
Dominica,North America,26.9,71183,NA,NA,5.4,540737037.04,Developing,540.73703704,0.071183,7596.435062304201
